French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
mois,month
car,because
aucun,no
laisse,leash
eux,them
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
façon,way
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
donne,given
fin,end
croire,believe
gros,large
filles,girls
jouer,to play
bureau,office
